rfi_id;bank_name;category;account_type;date_received;amount_usd;status;rfi_theme;customer_country;recipient_country;transaction_purpose;prev_sus_num; prev_suspensions;account_status;PRIORITY;RISK LEVEL;RESPONSE TIME
53;Bank C;Wise Customer;Business;14.01.2022;4200;Not Suspended;AML;US;France;Payment for services;0;No;Active;Medium;3;9
54;Bank A;Recipient;Business;08.07.2015;5100;Suspended;Sanctions;UK;Italy;Investment;1;Yes;Active;High;5;10
55;Bank C;Wise Customer;Individual;03.10.2024;2800;Not Suspended;AML;Mexico;South Africa;Remittance;0;No;Deactivated;Medium;3;8
56;Bank B;Recipient;Business;22.09.2020;4700;Suspended;Sanctions;India;Germany;Family support;1;Yes;Active;High;5;9
57;Bank C;Wise Customer;Business;01.05.2017;3500;Not Suspended;AML;France;Philippines;Payment for services;0;No;Active;Medium;3;10
58;Bank A;Recipient;Individual;15.08.2019;2300;Suspended;Sanctions;UAE;US;Investment;1;Yes;Deactivated;High;5;9
59;Bank C;Wise Customer;Business;18.11.2022;5200;Not Suspended;AML;UK;Japan;Family support;0;No;Active;Medium;3;9
60;Bank B;Recipient;Business;27.06.2023;6100;Suspended;Sanctions;Mexico;UAE;Payment for services;1;Yes;Active;High;5;10
61;Bank A;Wise Customer;Individual;29.03.2016;2500;Not Suspended;AML;India;France;Investment;0;No;Active;Medium;3;10
62;Bank B;Recipient;Business;06.09.2018;3900;Suspended;Sanctions;UK;Switzerland;Family support;0;No;Active;Medium;3;8
63;Bank C;Wise Customer;Business;11.07.2024;4600;Not Suspended;AML;US;Brazil;Payment for services;0;No;Active;Medium;3;8
64;Bank A;Recipient;Individual;21.12.2014;2000;Suspended;Sanctions;UAE;Germany;Remittance;1;Yes;Active;High;5;8
65;Bank C;Wise Customer;Business;19.02.2018;4300;Not Suspended;AML;Mexico;Russia;Investment;0;No;Deactivated;Medium;3;8
66;Bank B;Recipient;Business;12.04.2023;2800;Suspended;Sanctions;France;Italy;Family support;0;No;Active;Medium;3;9
67;Bank A;Wise Customer;Individual;07.08.2017;3500;Not Suspended;AML;UK;UAE;Payment for services;0;No;Active;Medium;3;9
68;Bank C;Recipient;Business;03.11.2016;4000;Suspended;Sanctions;Germany;Philippines;Investment;1;Yes;Active;High;5;9
69;Bank B;Wise Customer;Business;17.09.2015;5600;Not Suspended;AML;Canada;UK;Family support;0;No;Active;Medium;3;9
70;Bank A;Recipient;Individual;27.10.2019;2700;Suspended;Sanctions;India;US;Payment for services;1;Yes;Deactivated;High;5;8
71;Bank C;Wise Customer;Individual;09.09.2018;3600;Not Suspended;AML;Canada;Japan;Remittance;1;Yes;Active;High;5;8
72;Bank B;Recipient;Business;12.12.2016;4600;Suspended;Sanctions;UAE;France;Payment for services;0;No;Active;Medium;3;9
73;Bank A;Wise Customer;Business;04.02.2019;7200;Not Suspended;AML;India;UAE;Investment;0;No;Active;Medium;3;8
74;Bank A;Recipient;Individual;05.05.2022;3100;Suspended;Sanctions;UK;Germany;Family support;1;Yes;Active;High;5;9
75;Bank C;Wise Customer;Business;08.08.2021;2800;Not Suspended;AML;Mexico;Brazil;Remittance;0;No;Deactivated;Medium;3;9
76;Bank B;Recipient;Business;13.01.2023;6100;Suspended;Sanctions;US;Russia;Payment for services;1;Yes;Active;High;5;10
77;Bank A;Wise Customer;Individual;07.03.2017;4200;Not Suspended;AML;UAE;Canada;Investment;0;No;Active;Medium;3;8
78;Bank C;Recipient;Business;18.08.2020;5900;Suspended;Sanctions;UK;South Africa;Family support;1;Yes;Active;High;5;9
79;Bank B;Wise Customer;Business;30.11.2015;3600;Not Suspended;AML;India;Japan;Payment for services;0;No;Active;Medium;3;8
80;Bank A;Recipient;Individual;02.02.2024;4800;Suspended;Sanctions;UAE;Nigeria;Investment;1;Yes;Active;High;5;8
81;Bank C;Wise Customer;Business;21.12.2019;3000;Not Suspended;AML;Germany;UK;Remittance;0;No;Active;Medium;3;8
82;Bank B;Recipient;Individual;25.10.2018;5100;Suspended;Sanctions;Mexico;UAE;Payment for services;1;Yes;Active;High;5;9
83;Bank A;Wise Customer;Business;05.03.2022;6200;Not Suspended;AML;France;Brazil;Investment;0;No;Deactivated;Medium;3;10
84;Bank C;Recipient;Business;19.01.2018;4600;Suspended;Sanctions;UK;Mexico;Family support;1;Yes;Active;High;5;10
85;Bank B;Wise Customer;Individual;10.10.2023;3400;Not Suspended;AML;Canada;India;Payment for services;0;No;Active;Medium;3;10
86;Bank A;Recipient;Business;11.04.2023;2700;Suspended;Sanctions;UAE;Switzerland;Investment;1;Yes;Active;High;5;8
87;Bank C;Wise Customer;Business;07.07.2019;3800;Not Suspended;AML;India;US;Remittance;0;No;Active;Medium;3;10
88;Bank A;Recipient;Individual;13.09.2021;5500;Suspended;Sanctions;Germany;UAE;Payment for services;1;Yes;Active;High;5;9
89;Bank C;Recipient;Individual;29.03.2018;4300;Suspended;Sanctions;Mexico;Canada;Investment;1;Yes;Deactivated;High;5;8
90;Bank A;Recipient;Business;07.08.2020;4400;Suspended;Sanctions;UAE;Japan;Investment;1;Yes;Active;High;5;8
91;Bank B;Wise Customer;Business;25.05.2020;7000;Not Suspended;AML;UK;Philippines;Family support;0;No;Active;Medium;3;9
92;Bank B;Wise Customer;Individual;04.12.2022;5100;Not Suspended;AML;France;UK;Payment for services;0;No;Active;Medium;3;9
93;Bank C;Wise Customer;Business;11.10.2024;3800;Not Suspended;AML;UK;South Africa;Family support;0;No;Deactivated;Medium;3;9
94;Bank B;Recipient;Individual;06.01.2016;4700;Suspended;Sanctions;Germany;India;Remittance;1;Yes;Active;High;5;8
95;Bank A;Wise Customer;Business;08.08.2023;6500;Not Suspended;AML;US;France;Investment;0;No;Active;Medium;3;10
96;Bank C;Recipient;Business;21.07.2021;3900;Suspended;Sanctions;UAE;Mexico;Payment for services;1;Yes;Active;High;5;9
97;Bank B;Wise Customer;Individual;14.09.2017;4600;Not Suspended;AML;Canada;Switzerland;Remittance;0;No;Active;Medium;3;10
98;Bank C;Wise Customer;Business;18.03.2016;5700;Not Suspended;AML;UK;UAE;Payment for services;0;No;Deactivated;Medium;3;10
99;Bank A;Recipient;Individual;04.05.2022;3200;Suspended;Sanctions;India;UK;Investment;1;Yes;Active;High;5;10
100;Bank A;Recipient;Individual;26.06.2023;3500;Suspended;Sanctions;France;India;Family support;1;Yes;Active;High;5;10
